n,correct,additions,multiplications,matrix_additions,matrix_multiplications,matrix_inversions,time
155,true,39399371,8063866,24188672,9406586,309,2.621279001235962
156,true,39402920,8064455,24190420,9407265,311,2.61311411857605
157,true,39414303,8065044,24192168,9407944,313,2.836284875869751
158,false,39418576,8065633,24193916,9408623,315,2.7146811485290527
159,false,39421429,8066222,24195664,9409302,317,2.7131519317626953
160,false,39424282,8066811,24197412,9409981,319,2.7189691066741943
161,true,40073543,8066896,24197648,9410072,321,2.7098119258880615
162,false,40257504,8066981,24197884,9410163,323,2.708284854888916
163,false,40282977,8067066,24198120,9410254,325,2.7034318447113037
164,true,40308450,8067151,24198356,9410345,327,2.7046899795532227
165,true,40320985,8067236,24198592,9410436,329,2.695977210998535
166,true,40326050,8067321,24198828,9410527,331,2.7027299404144287
167,true,40329623,8067406,24199064,9410618,333,2.7036678791046143
168,true,40333196,8067491,24199300,9410709,335,2.7000339031219482
169,false,40380353,8067576,24199536,9410800,337,2.699965000152588
170,true,40392770,8067661,24199772,9410891,339,2.6716718673706055
171,false,40394371,8067746,24200008,9410982,341,2.6174771785736084
172,false,40395972,8067831,24200244,9411073,343,2.76857590675354
173,false,40406199,8067916,24200480,9411164,345,2.7147531509399414
174,true,40408596,8068001,24200716,9411255,347,2.70573091506958
175,false,40409429,8068086,24200952,9411346,349,2.7126669883728027
176,false,40410262,8068171,24201188,9411437,351,2.7093050479888916
177,true,40600985,8068256,24201424,9411528,353,2.7155869007110596
178,true,40653918,8068341,24201660,9411619,355,2.6250510215759277
179,false,40660755,8068426,24201896,9411710,357,2.634321928024292
180,false,40667592,8068511,24202132,9411801,359,2.6349740028381348
181,true,40678483,8068596,24202368,9411892,361,2.622467041015625
182,true,40681184,8068681,24202604,9411983,363,2.6238889694213867
183,true,40682249,8068766,24202840,9412074,365,2.6256790161132812
184,true,40683314,8068851,24203076,9412165,367,2.6143879890441895
185,true,40734623,8068936,24203312,9412256,369,2.9624879360198975
186,true,40747952,8069021,24203548,9412347,371,2.7646219730377197
187,true,40749457,8069106,24203784,9412438,373,2.7953062057495117
188,true,40750962,8069191,24204020,9412529,375,2.8822898864746094
189,true,40761885,8069276,24204256,9412620,377,2.7331559658050537
190,false,40764258,8069361,24204492,9412711,379,2.7456490993499756
191,true,40764923,8069446,24204728,9412802,381,2.947323799133301
192,true,40765588,8069531,24204964,9412893,383,2.8443210124969482
193,false,43651863,8069544,24204984,9412900,385,2.8386011123657227
194,true,44474348,8069557,24205004,9412907,387,2.8841519355773926
195,true,44590497,8069570,24205024,9412914,389,2.710188865661621
196,false,44706646,8069583,24205044,9412921,391,2.6042640209198
197,false,44733465,8069596,24205064,9412928,393,2.7511889934539795
198,false,44751374,8069609,24205084,9412935,395,2.611859083175659
199,false,44767503,8069622,24205104,9412942,397,2.6076698303222656
200,false,44783632,8069635,24205124,9412949,399,2.6119699478149414
201,true,44840897,8069648,24205144,9412956,401,2.6067891120910645
202,false,44856942,8069661,24205164,9412963,403,2.6124918460845947
203,false,44860155,8069674,24205184,9412970,405,2.6065800189971924
204,false,44863368,8069687,24205204,9412977,407,2.5981459617614746
205,false,44876791,8069700,24205224,9412984,409,2.601562023162842
206,true,44880944,8069713,24205244,9412991,411,2.5996391773223877
207,true,44883245,8069726,24205264,9412998,413,2.597231864929199
208,true,44885546,8069739,24205284,9413005,415,2.811746835708618
209,false,45109453,8069752,24205304,9413012,417,2.6973960399627686
210,true,45171450,8069765,24205324,9413019,419,2.6089370250701904
211,false,45179287,8069778,24205344,9413026,421,2.6035568714141846
212,false,45187124,8069791,24205364,9413033,423,2.6058318614959717
213,false,45199735,8069804,24205384,9413040,425,2.6032350063323975
214,false,45202716,8069817,24205404,9413047,427,2.603255033493042
215,true,45203773,8069830,24205424,9413054,429,2.598257064819336
216,true,45204830,8069843,24205444,9413061,431,2.599339008331299
217,true,45264699,8069856,24205464,9413068,433,2.735429048538208
218,true,45280108,8069869,24205484,9413075,435,2.687541961669922
219,false,45281677,8069882,24205504,9413082,437,2.5975189208984375
220,true,45283246,8069895,24205524,9413089,439,2.5862910747528076
221,true,45295817,8069908,24205544,9413096,441,2.5795960426330566
222,true,45298398,8069921,24205564,9413103,443,2.5689289569854736
223,false,45298983,8069934,24205584,9413110,445,2.569244146347046
224,true,45299568,8069947,24205604,9413117,447,2.569437026977539
225,false,46188013,8069960,24205624,9413124,449,2.580397129058838
226,false,46439438,8069973,24205644,9413131,451,2.699424982070923
227,false,46473911,8069986,24205664,9413138,453,2.5821120738983154
228,false,46508384,8069999,24205684,9413145,455,2.57476806640625
229,true,46525311,8070012,24205704,9413152,457,2.5751681327819824
230,true,46531888,8070025,24205724,9413159,459,2.5748038291931152
231,true,46536397,8070038,24205744,9413166,461,2.5656938552856445
232,false,46540906,8070051,24205764,9413173,463,2.5730929374694824
233,false,46605271,8070064,24205784,9413180,465,2.5616729259490967
234,true,46621936,8070077,24205804,9413187,467,2.5675201416015625
235,false,46623753,8070090,24205824,9413194,469,2.824404001235962
236,true,46625570,8070103,24205844,9413201,471,2.6874539852142334
237,false,46639181,8070116,24205864,9413208,473,2.577751874923706
238,false,46642082,8070129,24205884,9413215,475,2.580967903137207
239,true,46642843,8070142,24205904,9413222,477,2.5631937980651855
240,false,46643604,8070155,24205924,9413229,479,2.560441017150879
241,true,46900711,8070168,24205944,9413236,481,2.560291051864624
242,true,46971788,8070181,24205964,9413243,483,2.6778790950775146
243,false,46980641,8070194,24205984,9413250,485,2.578885078430176
244,false,46989494,8070207,24206004,9413257,487,2.571233034133911
245,false,47003841,8070220,24206024,9413264,489,2.570590019226074
246,true,47007118,8070233,24206044,9413271,491,2.5956740379333496
247,true,47008183,8070246,24206064,9413278,493,2.566166877746582
248,false,47009248,8070259,24206084,9413285,495,2.563634157180786
249,false,47077693,8070272,24206104,9413292,497,2.558566093444824
250,false,47095198,8070285,24206124,9413299,499,2.7936079502105713
251,true,47096847,8070298,24206144,9413306,501,2.6910910606384277
252,false,47098496,8070311,24206164,9413313,503,2.6824240684509277
253,false,47112731,8070324,24206184,9413320,505,2.558540105819702
254,true,47115536,8070337,24206204,9413327,507,2.560014009475708
255,false,47116057,8070350,24206224,9413334,509,2.5589280128479004
256,false,47116578,8070363,24206244,9413341,511,2.5556530952453613
257,false,209673298,42659170,127972646,49766941,513,14.320909023284912
258,true,256115078,52541687,157620178,61296536,515,16.901310920715332
259,true,262747682,53953476,161855526,62943615,517,17.313300132751465
260,false,269380286,55365265,166090874,64590694,519,17.972015857696533
