n,correct,additions,multiplications,matrix_additions,matrix_multiplications,matrix_inversions,matrix_lu_factorizations,time
130,true,2729518,2820824,1571166,3290108,1675,258,0.4050610065460205
131,true,2787405,2879880,1586863,3403448,1683,260,0.4203019142150879
132,true,2865946,2960053,1621207,3555742,1693,262,0.4358079433441162
133,true,2917623,3012752,1633040,3653802,1701,264,0.4451630115509033
134,true,2988168,3084756,1663258,3786260,1711,266,0.46169304847717285
135,true,3053829,3151851,1683560,3908034,1723,268,0.47392702102661133
136,true,3142200,3242166,1724016,4070432,1737,270,0.4966440200805664
137,true,3194981,3295915,1736477,4164948,1745,272,0.5025348663330078
138,true,3267138,3369473,1768215,4292862,1755,274,0.5231399536132812
139,true,3333451,3437144,1789327,4408960,1767,276,0.5332441329956055
140,true,3423200,3528759,1831641,4564738,1781,278,0.5536329746246338
141,true,3482403,3589163,1848171,4665656,1793,280,0.5626430511474609
142,true,3562990,3671431,1885469,4801738,1807,282,0.5808610916137695
143,true,3638229,3748341,1911986,4927550,1823,284,0.592656135559082
144,true,3739136,3851476,1961358,5094876,1841,286,0.7292377948760986
145,true,3797765,3911085,1977475,5189568,1849,288,0.6337490081787109
146,true,3877902,3992651,2015109,5317866,1859,290,0.6366641521453857
147,true,3951259,4067382,2041021,5434028,1871,292,0.6473259925842285
148,true,4050638,4168663,2090705,5590226,1885,294,0.6672601699829102
149,true,4115925,4235157,2111257,5691188,1897,296,0.6799371242523193
150,true,4204898,4325835,2154957,5827674,1911,298,0.6949739456176758
151,true,4287669,4410291,2186832,5953546,1927,300,0.7129509449005127
152,true,4398876,4523762,2244284,6121464,1945,302,0.7327430248260498
153,true,4465119,4591148,2265402,6219526,1957,304,0.7462048530578613
154,true,4555530,4683194,2310580,6352344,1971,306,0.760498046875
155,true,4638577,4767836,2343067,6473296,1987,308,0.773705005645752
156,true,4750784,4882213,2402223,6635630,2005,310,0.7946510314941406
157,true,4824741,4957588,2428512,6741242,2021,312,0.8175089359283447
158,true,4925220,5060028,2480638,6883692,2039,314,0.8220689296722412
159,true,5019001,5155767,2520028,7015786,2059,316,0.8510410785675049
160,true,5144544,5283896,2588050,7191460,2081,318,0.8627028465270996
161,true,5216801,5357217,2613127,7290360,2089,320,0.8737239837646484
162,true,5315472,5457445,2664681,7424554,2099,322,1.010411024093628
163,true,5405605,5549068,2702273,7546188,2111,324,0.8965878486633301
164,true,5527646,5673179,2769329,7709986,2125,326,0.9238810539245605
165,true,5607609,5754445,2799825,7816020,2137,328,0.9403269290924072
166,true,5716522,5865207,2858727,7959606,2151,330,0.9513719081878662
167,true,5817657,5968163,2903686,8092142,2167,332,0.9652891159057617
168,true,5953496,6106458,2980236,8269240,2185,334,0.9923999309539795
169,true,6034207,6188398,3011176,8372898,2197,336,1.0011091232299805
170,true,6144306,6300264,3071436,8513536,2211,338,1.021054983139038
171,true,6245245,6402920,3116713,8641716,2227,340,1.0329649448394775
172,true,6381592,6541613,3194699,8814038,2245,342,1.0669808387756348
173,true,6471221,6632762,3231922,8926238,2261,344,1.0802438259124756
174,true,6592962,6756616,3300552,9077864,2279,346,1.2051808834075928
175,true,6706403,6872161,3354288,9218554,2299,348,1.108794927597046
176,true,6858248,7026796,3443030,9405996,2321,350,1.117475986480713
177,true,6945987,7115766,3478844,9512650,2333,352,1.1302521228790283
178,true,7065676,7237238,3546670,9657492,2347,354,1.1511430740356445
179,true,7174995,7348276,3598165,9789148,2363,356,1.1730849742889404
180,true,7322834,7498481,3685487,9966494,2381,358,1.1884520053863525
181,true,7419643,7596802,3727910,10081670,2397,360,1.2025010585784912
182,true,7551320,7730600,3804596,10237680,2415,362,1.231506109237671
183,true,7673593,7854973,3865116,10382050,2435,364,1.2386620044708252
184,true,7837588,8021774,3963936,10574944,2457,366,1.2739770412445068
185,true,7934877,8120491,4006621,10688148,2473,368,1.4167959690093994
186,true,8067410,8255051,4084467,10841774,2491,370,1.2837610244750977
187,true,8188919,8378542,4144915,10982160,2511,372,1.3120908737182617
188,true,8352816,8545119,4244789,11170858,2533,374,1.3272371292114258
189,true,8460555,8654623,4295087,11294144,2553,376,1.3420920372009277
190,true,8606656,8803147,4382967,11460710,2575,378,1.3631629943847656
191,true,8742811,8941725,4453696,11615618,2599,380,1.383908987045288
192,true,8924768,9126864,4566506,11821908,2625,382,1.4127600193023682
193,true,9028845,9232203,4614009,11938348,2633,384,1.4257049560546875
194,true,9170750,9375957,4699472,12096656,2643,386,1.4540410041809082
195,true,9300091,9507062,4765944,12240530,2655,388,1.5906648635864258
196,true,9475002,9684427,4875115,12434598,2669,390,1.5023210048675537
197,true,9589253,9800215,4930299,12560632,2681,392,1.507901906967163
198,true,9744656,9957803,5026040,12731616,2695,394,1.533729076385498
199,true,9888691,10103985,5103125,12889796,2711,396,1.5653679370880127
200,true,10081928,10300122,5225752,13101488,2729,398,1.574455976486206
