n,determinant,correct,additions,multiplications,matrix_additions,matrix_multiplications,matrix_inversions,matrix_lu_factorizations,time
243,6.303287786753169e106,true,38176521,6682571,20018448,7784012,3284,485,2.110764980316162
244,-1.5816025103980883e109,true,38202588,6682693,20018613,7784069,3306,487,2.114690065383911
245,-1.634463207040812e108,true,38209892,6682789,20018738,7784112,3324,489,2.105560064315796
246,3.052705703887101e108,true,38211945,6682911,20018903,7784169,3346,491,2.113424062728882
247,-2.3315669301003375e107,true,38213876,6683033,20019068,7784226,3368,493,2.111325979232788
248,5.034024119420927e109,true,38217196,6683181,20019273,7784297,3394,495,2.1151280403137207
249,3.8007994934329394e111,true,38251800,6683277,20019398,7784340,3412,497,2.1118481159210205
250,-1.6409676523766068e112,true,38269727,6683399,20019563,7784397,3434,499,2.107844829559326
251,2.034699209946513e113,true,38270520,6683521,20019728,7784454,3456,501,2.1051599979400635
252,-1.9643444726531825e113,true,38273858,6683669,20019933,7784525,3482,503,2.113237142562866
253,-1.5122293529947022e114,true,38281449,6683791,20020098,7784582,3504,505,2.337383985519409
254,8.7229462337419e113,true,38282461,6683939,20020303,7784653,3530,507,2.1116111278533936
255,2.5304135642508164e116,true,38283347,6684087,20020508,7784724,3556,509,2.1158008575439453
256,-9.680280770775841e113,true,38284510,6684261,20020753,7784809,3586,511,2.1181130409240723
257,7.312224706857757e116,true,119563129,23978665,71903954,27961610,3588,513,7.61591100692749
258,-1.5209706187119564e116,true,177609597,36331813,108963349,42373596,3594,515,11.543589115142822
259,7.604467145138594e117,true,185897367,38096551,114257514,44432437,3600,517,12.094283103942871
260,-2.0433154431583867e117,true,207449568,42684867,128022375,49785436,3610,519,13.528878927230835
