n,correct,additions,multiplications,matrix_additions,matrix_multiplications,matrix_inversions,matrix_lu_factorizations,time
65,true,4096005,852627,2539275,987249,709,128,0.28766393661499023
66,true,5277461,1104897,3295550,1281354,715,130,0.3638741970062256
67,true,5579655,1169827,3489975,1356961,723,132,0.39018988609313965
68,true,6016400,1263638,3770820,1466175,733,134,0.4269111156463623
69,true,6061902,1273005,3798547,1476955,741,136,0.41882991790771484
70,true,6123155,1286559,3838606,1492530,751,138,0.42148399353027344
71,true,6203346,1304163,3890997,1512900,763,140,0.4311189651489258
72,true,6302436,1325956,3955720,1538065,777,142,0.43706607818603516
73,true,6326556,1327391,3959633,1539584,785,144,0.4342639446258545
74,true,6339967,1329489,3965294,1541782,795,146,0.4380979537963867
75,true,6351168,1332105,3972703,1544659,807,148,0.43910694122314453
76,true,6365248,1335386,3981860,1548215,821,150,0.43782591819763184
77,true,6379603,1338005,3989269,1551092,833,152,0.4418480396270752
78,true,6392985,1341291,3998426,1554648,847,154,0.4430110454559326
79,true,6408945,1345091,4009331,1558883,863,156,0.4409661293029785
80,true,6427440,1349560,4021984,1563797,881,158,0.43952202796936035
81,true,6511338,1349873,4022495,1563993,889,160,0.4443209171295166
82,true,6541867,1350353,4023242,1564280,899,162,0.44442105293273926
83,true,6549220,1350839,4024225,1564658,911,164,0.44593095779418945
84,true,6559812,1351494,4025444,1565127,925,166,0.4419100284576416
85,true,6565295,1351983,4026427,1565505,937,168,0.4431569576263428
86,true,6567393,1352643,4027646,1565974,951,170,0.4430408477783203
87,true,6570021,1353305,4029101,1566534,967,172,0.4459707736968994
88,true,6573132,1354140,4030792,1567185,985,174,0.44466304779052734
89,true,6596813,1354635,4031775,1567563,997,176,0.43848490715026855
90,true,6604725,1355305,4032994,1568032,1011,178,0.4489741325378418
91,true,6607175,1355973,4034449,1568592,1027,180,0.44583606719970703
92,true,6610324,1356818,4036140,1569243,1045,182,0.4446890354156494
93,true,6616572,1357489,4037595,1569803,1061,184,0.43999195098876953
94,true,6618875,1358339,4039286,1570454,1079,186,0.44786500930786133
95,true,6621512,1359183,4041213,1571196,1099,188,0.45076990127563477
96,true,6624432,1360208,4043376,1572029,1121,190,0.4472239017486572
97,true,7003862,1360383,4043401,1572036,1129,192,0.4414048194885254
98,true,7146755,1360669,4043446,1572050,1139,194,0.44172000885009766
99,true,7181502,1360873,4043511,1572071,1151,196,0.44344305992126465
100,true,7231980,1361190,4043596,1572099,1165,198,0.43532800674438477
101,true,7240715,1361397,4043661,1572120,1177,200,0.4443509578704834
102,true,7246749,1361719,4043746,1572148,1191,202,0.4420289993286133
103,true,7254725,1361955,4043851,1572183,1207,204,0.4392220973968506
104,true,7264588,1362308,4043976,1572225,1225,206,0.4414238929748535
105,true,7291249,1362521,4044041,1572246,1237,208,0.4417729377746582
106,true,7299189,1362853,4044126,1572274,1251,210,0.4363579750061035
107,true,7300523,1363095,4044231,1572309,1267,212,0.4424431324005127
108,true,7302484,1363458,4044356,1572351,1285,214,0.4489409923553467
109,true,7308260,1363703,4044461,1572386,1301,216,0.43845605850219727
110,true,7309227,1364071,4044586,1572428,1319,218,0.4452478885650635
111,true,7310392,1364345,4044731,1572477,1339,220,0.43947386741638184
112,false,7311696,1364744,4044896,1572533,1361,222,0.4425969123840332
113,true,7425781,1364969,4044961,1572554,1373,224,0.443619966506958
114,true,7466425,1365321,4045046,1572582,1387,226,0.43984389305114746
115,true,7474997,1365575,4045151,1572617,1403,228,0.443666934967041
116,true,7487616,1365958,4045276,1572659,1421,230,0.44147706031799316
117,true,7493662,1366215,4045381,1572694,1437,232,0.43784189224243164
118,true,7494683,1366603,4045506,1572736,1455,234,0.44464588165283203
119,true,7496050,1366889,4045651,1572785,1475,236,0.4446530342102051
120,true,7497700,1367308,4045816,1572841,1497,238,0.43860316276550293
121,true,7528204,1367571,4045921,1572876,1513,240,0.44319796562194824
122,true,7537051,1367969,4046046,1572918,1531,242,0.44254612922668457
123,true,7538164,1368261,4046191,1572967,1551,244,0.4398651123046875
124,true,7539848,1368690,4046356,1573023,1573,246,0.4430699348449707
125,true,7546047,1368985,4046501,1573072,1593,248,0.4424290657043457
126,true,7546589,1369419,4046666,1573128,1615,250,0.44212794303894043
