n,determinant,correct,additions,multiplications,time
150,1.5489694942667588e50,true,5625,2970809,0.5162479877471924
151,-7.295645669376643e50,true,5776,3015682,0.5282819271087646
152,2.539736032324832e52,true,5776,3111524,0.5411920547485352
153,1.8536423156178352e53,true,5929,3143389,0.5503809452056885
154,-5.744984929982009e53,true,5929,3217343,0.5628178119659424
155,1.0812508784753925e52,true,6084,3261092,0.7512149810791016
156,1.8450658428850105e55,true,6084,3356908,0.5801270008087158
157,2.0409916219054835e54,true,6241,3393759,0.6001729965209961
158,-2.9443251603507826e55,true,6241,3477163,0.6080770492553711
159,-1.3806471936216197e55,true,6400,3528748,0.6157739162445068
160,3.2031562734544055e55,true,6400,3637360,0.6330530643463135
161,-9.696388970902735e55,true,6561,3671701,0.6450271606445312
162,-3.20958789355805e56,true,6561,3751925,0.6512670516967773
163,-9.770492177276611e57,true,6724,3798674,0.6640598773956299
164,4.028303289506424e59,true,6724,3902288,0.6793010234832764
165,-5.2858941730608486e57,true,6889,3941355,0.6787328720092773
166,-1.1457978020549737e61,true,6889,4031121,0.7036259174346924
167,-4.857114184045117e59,true,7056,4085714,0.7113640308380127
168,-3.338578104648763e60,true,7056,4202508,0.7338409423828125
169,-4.11291101014842e60,true,7225,4241173,0.7426731586456299
170,-6.486771913987323e61,true,7225,4331027,0.7526628971099854
171,2.6844011534096233e61,true,7396,4383968,0.753842830657959
172,2.714865077150772e63,true,7396,4500132,0.7858898639678955
173,6.745098405721289e62,true,7569,4544565,0.7907721996307373
174,1.9443627592680304e64,true,7569,4645367,0.8133220672607422
175,-1.6774313239230374e65,true,7744,4707474,0.8211560249328613
176,1.8295862887479452e64,true,7744,4838528,0.8460919857025146
177,-2.8131386326044824e66,true,7921,4880307,0.8384439945220947
178,-3.130763733087102e66,true,7921,4977663,0.8598120212554932
179,5.3218628731564934e67,true,8100,5034500,0.8722372055053711
180,1.5006977620913972e68,true,8100,5160048,0.8977940082550049
181,-3.5743846141122045e68,true,8281,5207509,0.9045181274414062
182,4.7038777100748834e69,true,8281,5316103,0.9172711372375488
183,-6.60128392921275e67,true,8464,5382312,0.9202280044555664
184,-5.614217748968857e68,true,8464,5523356,0.9434571266174316
185,9.57487138806373e69,true,8649,5570137,0.9474689960479736
186,-1.9034373653973757e70,true,8649,5678381,0.967275857925415
187,3.901745867148445e71,true,8836,5742332,0.9724538326263428
188,3.2769187546060885e73,true,8836,5882028,1.1736559867858887
189,3.855763798609123e72,true,9025,5935693,1.0122020244598389
190,-4.9313005574072066e73,true,9025,6056765,1.038257122039795
191,2.786883909788027e72,true,9216,6131594,1.0446889400482178
192,7.631027550425163e73,true,9216,6288704,1.0563199520111084
193,4.801930076905009e75,true,9409,6338067,1.0722289085388184
194,1.1367142502108672e76,true,9409,6453209,1.1222331523895264
195,1.0812372631728631e77,true,9604,6520116,1.1002280712127686
196,-1.6053090748681087e77,true,9604,6668280,1.129762887954712
197,-2.9006728834424485e77,true,9801,6723949,1.1367919445037842
198,-4.1488488690961197e79,true,9801,6851741,1.1528849601745605
199,1.8461676479325736e79,true,10000,6929264,1.1655020713806152
200,3.0246588973297746e79,true,10000,7095004,1.2115161418914795
