n,correct,additions,multiplications,matrix_additions,matrix_multiplications,matrix_inversions,matrix_lu_factorizations,time
50,true,680295,134817,400867,155743,434,99,0.039114952087402344
51,true,682347,134860,400912,155757,444,101,0.04390406608581543
52,true,688228,134929,400997,155785,458,103,0.04384112358093262
53,true,689838,134972,401042,155799,468,105,0.04364204406738281
54,true,690329,135041,401127,155827,482,107,0.1370530128479004
55,true,690794,135110,401212,155855,496,109,0.050312042236328125
56,true,691596,135205,401337,155897,514,111,0.04690814018249512
57,true,699794,135248,401382,155911,524,113,0.04104304313659668
58,true,704087,135317,401467,155939,538,115,0.04636883735656738
59,true,704302,135386,401552,155967,552,117,0.04665207862854004
60,true,705146,135481,401677,156009,570,119,0.045957088470458984
61,true,707023,135550,401762,156037,584,121,0.0463869571685791
62,true,707317,135645,401887,156079,602,123,0.04624581336975098
63,true,707581,135740,402012,156121,620,125,0.04610109329223633
64,true,707934,135861,402177,156177,642,127,0.04121589660644531
65,true,2365489,488808,1461010,567945,644,129,0.16868209838867188
66,true,3546945,740915,2217285,862050,650,131,0.24428796768188477
67,true,3714519,776932,2325290,904050,656,133,0.26117706298828125
68,true,4151264,870575,2606135,1013264,666,135,0.29165196418762207
69,true,4176534,875722,2621530,1019249,672,137,0.28927087783813477
70,true,4237787,889103,2661589,1034824,682,139,0.2986721992492676
71,true,4299006,902484,2701648,1050399,692,141,0.29868197441101074
72,true,4398096,924099,2766371,1075564,706,143,0.31084418296813965
73,true,4411430,924836,2768536,1076404,712,145,0.3103179931640625
74,true,4424841,926751,2774197,1078602,722,147,0.31110501289367676
75,true,4433086,928666,2779858,1080800,732,149,0.3126709461212158
76,true,4447166,931759,2789015,1084356,746,151,0.3129451274871826
77,true,4457501,933674,2794676,1086554,756,153,0.3090341091156006
78,true,4470883,936767,2803833,1090110,770,155,0.31446194648742676
79,true,4484227,939860,2812990,1093666,784,157,0.31562304496765137
80,true,4502722,944131,2825643,1098580,802,159,0.317533016204834
81,true,4548304,944238,2825918,1098685,808,161,0.3161768913269043
82,true,4578833,944515,2826665,1098972,818,163,0.3182539939880371
83,true,4582862,944792,2827412,1099259,828,165,0.3168151378631592
84,true,4593454,945239,2828631,1099728,842,167,0.31195497512817383
85,true,4596817,945516,2829378,1100015,852,169,0.302854061126709
86,true,4598915,945963,2830597,1100484,866,171,0.3032369613647461
87,true,4600971,946410,2831816,1100953,880,173,0.30399513244628906
88,false,4604082,947027,2833507,1101604,898,175,0.30606603622436523
89,true,4617485,947304,2834254,1101891,908,177,0.3036539554595947
90,true,4625397,947751,2835473,1102360,922,179,0.30347490310668945
91,true,4627055,948198,2836692,1102829,936,181,0.2994849681854248
92,true,4630204,948815,2838383,1103480,954,183,0.30446600914001465
93,true,4634380,949262,2839602,1103949,968,185,0.3051290512084961
94,true,4636683,949879,2841293,1104600,986,187,0.308560848236084
95,true,4638940,950496,2842984,1105251,1004,189,0.30890583992004395
96,true,4641860,951283,2845147,1106084,1026,191,0.3083038330078125
97,true,4846716,951300,2845152,1106084,1032,193,0.3099219799041748
98,true,4989609,951343,2845197,1106098,1042,195,0.30982112884521484
99,true,5008524,951386,2845242,1106112,1052,197,0.3084850311279297
100,true,5059002,951455,2845327,1106140,1066,199,0.30710506439208984
101,true,5063909,951498,2845372,1106154,1076,201,0.31017613410949707
102,true,5069943,951567,2845457,1106182,1090,203,0.3005080223083496
103,true,5075927,951636,2845542,1106210,1104,205,0.3126251697540283
104,true,5085790,951731,2845667,1106252,1122,207,0.3099019527435303
105,true,5100573,951774,2845712,1106266,1132,209,0.3117060661315918
106,true,5108513,951843,2845797,1106294,1146,211,0.3082129955291748
107,true,5109111,951912,2845882,1106322,1160,213,0.3130760192871094
108,true,5111072,952007,2846007,1106364,1178,215,0.31099700927734375
109,true,5114616,952076,2846092,1106392,1192,217,0.3104710578918457
110,true,5115583,952171,2846217,1106434,1210,219,0.30710315704345703
